trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
689,False,"{'a': 0.1, 'e': 0.8334394248470388}",25,0,-193.51383154008772,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
690,False,"{'a': 0.1, 'e': 0.9010381721675004}",20,0,-87.44546152035167,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
691,False,"{'a': 0.1, 'e': 0.9303739337250995}",25,0,-83.19945348925485,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
692,False,"{'a': 0.1, 'e': 0.9142536968012851}",20,0,-28.702280452921002,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
693,False,"{'a': 0.1, 'e': 0.8566140151478097}",20,0,-68.29835211928489,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
694,False,"{'a': 0.1, 'e': 0.7715549155183148}",20,0,-31.370101306647896,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
695,False,"{'a': 0.1, 'e': 0.6798859053277587}",20,0,-85.34407950292173,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
696,False,"{'a': 0.1, 'e': 0.6040301833660504}",25,9,-54.654627694074975,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
697,False,"{'a': 0.1, 'e': 0.5625348999050743}",30,6,-12.22579503578864,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 0}",1
698,False,"{'a': 0.1, 'e': 0.565531486930346}",25,0,-108.19713220809385,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
699,False,"{'a': 0.1, 'e': 0.6122572049301755}",25,0,-61.712633902726324,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
700,False,"{'a': 0.1, 'e': 0.691244210072117}",20,12,-80.21528261334359,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
701,False,"{'a': 0.1, 'e': 0.7831292830354555}",20,11,-15.66641876803824,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
702,False,"{'a': 0.1, 'e': 0.865395810045901}",20,0,-75.92225544835186,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
703,False,"{'a': 0.1, 'e': 0.9178867225101343}",20,0,-22.66461101903873,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
704,False,"{'a': 0.1, 'e': 0.9277386139859685}",25,0,-109.72708254128263,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
705,False,"{'a': 0.1, 'e': 0.8925292443231878}",30,0,-179.98140257943064,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
706,False,"{'a': 0.1, 'e': 0.8208682789374326}",25,0,-131.4109309087833,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
707,False,"{'a': 0.1, 'e': 0.7302871951091607}",20,0,-66.83834702358766,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
708,False,"{'a': 0.1, 'e': 0.6429455055802213}",20,0,-81.13529530934211,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
709,False,"{'a': 0.1, 'e': 0.5802049229580273}",20,0,-100.0234964760305,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
710,False,"{'a': 0.1, 'e': 0.5574000000844166}",30,6,-279.4506663288496,"{0: 13, 1: 3, 2: 0, 3: 2, 4: 6}",1
711,False,"{'a': 0.1, 'e': 0.5800853966135963}",30,0,-91.84008751082557,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
712,False,"{'a': 0.1, 'e': 0.6426781556211509}",20,1,-75.05908564892437,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 1}",1
713,False,"{'a': 0.1, 'e': 0.7298268571548028}",30,7,-76.02670073361519,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 0}",1
714,False,"{'a': 0.1, 'e': 0.8201718810675969}",35,0,-41.694191085021956,"{0: 27, 1: 1, 2: 7, 3: 0, 4: 0}",0
715,False,"{'a': 0.1, 'e': 0.891575719470682}",30,18,-44.692749867577746,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
716,False,"{'a': 0.1, 'e': 0.9265425965626605}",25,0,-72.40757553210355,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
717,False,"{'a': 0.1, 'e': 0.9165005852897782}",20,0,-134.6043838949955,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
718,False,"{'a': 0.1, 'e': 0.8638981666569233}",20,0,-110.06536904697663,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
719,False,"{'a': 0.1, 'e': 0.7816024466055578}",20,0,-82.5238278506587,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
720,False,"{'a': 0.1, 'e': 0.6897469334201005}",30,0,-191.26614106181253,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
721,False,"{'a': 0.1, 'e': 0.6108011164207842}",20,0,-98.58162357122123,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
722,False,"{'a': 0.1, 'e': 0.5640692387554302}",25,0,-15.871579154978475,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
723,False,"{'a': 0.1, 'e': 0.5609651351672529}",25,3,-18.50568256613042,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 0}",1
724,False,"{'a': 0.1, 'e': 0.6022197279567769}",25,0,-114.22781562089256,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
725,False,"{'a': 0.1, 'e': 0.6777043936580276}",25,15,-64.06853020371702,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
726,False,"{'a': 0.1, 'e': 0.7689128779333194}",20,0,-17.82648268721917,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
727,False,"{'a': 0.1, 'e': 0.8534935914207145}",25,0,-73.29811138542851,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
728,False,"{'a': 0.1, 'e': 0.9107222994166393}",20,0,-127.4922699250257,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
729,False,"{'a': 0.1, 'e': 0.9265752410708092}",30,12,-73.08973441512796,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 1}",1
730,False,"{'a': 0.1, 'e': 0.8971608210149781}",25,0,-77.05232295769933,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",1
731,False,"{'a': 0.1, 'e': 0.829670119790988}",20,4,-52.28567586332172,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
732,False,"{'a': 0.1, 'e': 0.7406140651186903}",25,13,-67.45171799243276,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
733,False,"{'a': 0.1, 'e': 0.6517794049419913}",25,6,-42.28475830872807,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 1}",1
734,False,"{'a': 0.1, 'e': 0.5848939869537858}",25,16,-24.86881063768866,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
735,False,"{'a': 0.1, 'e': 0.5563076084947626}",20,9,18.78077322576299,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.1, 'e': 0.5729906071034537}",20,0,-76.0623619101183,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
737,False,"{'a': 0.1, 'e': 0.6308294867338997}",20,11,-18.161427170956735,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
